身長,性別,名前,上半身比率,下半身比率,骨格タイプ
150,女,,,,
150,女,,,,
151,女,,,,
151,女,,,,
151,女,齊藤なぎさ,3.937699202,6.062300798,ウェーブ
152,女,橋本環奈,3.984520728,6.015479272,ストレート
152,女,上白石萌音,3.950264418,6.049735582,ストレート
,女,,,,
152,女,,,,
153,女,与田祐希（乃木坂46）,4.062918991,5.937081009,ストレート
153,女,杉咲花,3.997074527,6.002925473,ストレート
153,女,,,,ナチュラル
153,女,田中みな実,3.941910529,6.058089471,ウェーブ
154,女,森七菜,4.024012773,5.975987227,ストレート
154,女,,,,
154,女,,,,
155,女,川﨑桜（乃木坂46）,4.25944049,5.74055951,ストレート
155,女,河田陽菜（日向坂46）,3.75374205,6.24625795,ストレート
,女,ミイヒ（NiziU）,4.220193076,5.779806924,ストレート
155,女,,,,
155,女,齊藤京子（日向坂46）,4.156099271,5.843900729,ウェーブ
,女,大谷映美里（＝LOVE),3.957590125,6.042409875,ウェーブ
155,女,山本舞香,3.91171727,6.08828273,ウェーブ
156,女,井上和（乃木坂46）,3.842971423,6.157028577,ストレート
156,女,一ノ瀬美空（乃木坂46）,3.915507302,6.084492698,ナチュラル
156,女,浜辺美波,4.067888556,5.932111444,ウェーブ
157,女,石原さとみ,4.162466995,5.837533005,ストレート
157,女,今田美桜,4.020810246,5.979189754,ストレート
157,女,丹生明里（日向坂46）,3.890498714,6.109501286,ナチュラル
157,女,佐々木舞香（＝LOVE),3.799079958,6.200920042,ウェーブ
157,女,二階堂ふみ,4.213701242,5.786298758,ウェーブ
158,女,マユカ（NiziU）,3.621537002,6.378462998,ストレート
158,女,,,,
158,女,齋藤飛鳥,3.796509706,6.203490294,ウェーブ
158,女,本田仁美（AKB48）,3.968550751,6.031449249,ウェーブ
158,女,リマ（NiziU）,4.208105445,5.791894555,ウェーブ
159,女,広瀬すず,4.169696234,5.830303766,ストレート
159,女,山田杏奈,3.848413192,6.151586808,ストレート
159,女,リオ（NiziU）,3.637395592,6.362604408,ストレート
159,女,チェヨン（TWICE）,3.757702614,6.242297386,ナチュラル
159,女,西野七瀬,3.944400552,6.055599448,ウェーブ
159,女,長浜ねる,3.716240649,6.283759351,ウェーブ
159,女,指原莉乃,3.682219299,6.317780701,ウェーブ
160,女,有村架純,3.978950538,6.021049462,ストレート
160,女,マコ（NiziU）,4.018214823,5.981785177,ストレート
,,,,,
160,女,生田絵梨花,3.71372618,6.28627382,ウェーブ
160,女,山下美月,4.029770185,5.970229815,ウェーブ
160,女,筒井あやめ（乃木坂46）,3.781812725,6.218187275,ウェーブ
160,女,鈴木瞳美（≠ME),3.439391202,6.560608798,ウェーブ
160,女,リク（NiziU）,3.993098125,6.006901875,ウェーブ
160,女,マヤ（NiziU）,3.972410021,6.027589979,ウェーブ
161,女,谷崎早耶（≠ME),3.906407528,6.093592472,ストレート
161,女,リリー（NMIXX）,3.918451229,6.081548771,ストレート
161,女,野口衣織（＝LOVE),3.994929184,6.005070816,ナチュラル
161,女,中村アン,3.980007225,6.019992775,ナチュラル
161,女,白石麻衣,3.562113674,6.437886326,ウェーブ
161,女,ダヒョン（TWICE）,3.73740824,6.26259176,ウェーブ
162,女,ハニ（NewJeans）,4.039361675,5.960638325,ストレート
162,女,モモ（TWICE）,3.862831933,6.137168067,ストレート
162,女,ジヒョ（TWICE）,3.79582025,6.20417975,ストレート
162,女,小坂菜緒（日向坂46）,3.792788658,6.207211342,ストレート
162,女,尾木波菜（≠ME),4.086088174,5.913911826,ストレート
162,女,ジス（BLACKPINK）,4.069289314,5.930710686,ストレート
,,,,,
162,女,冨田菜々風（≠ME),3.526358071,6.473641929,ウェーブ
162,女,ナヨン（TWICE）,4.017064025,5.982935975,ウェーブ
163,女,ミナ（TWICE）,3.771579348,6.228420652,ストレート
163,女,髙松瞳（＝LOVE),4.120437715,5.879562285,ストレート
163,女,ジェニ（BLACKPINK）,3.817844118,6.182155882,ストレート
163,女,永野芽郁,3.829361206,6.170638794,ナチュラル
163,,ウィンター（aespa）,3.529789984,6.470210016,ウェーブ
163,女,サナ（TWICE）,3.857344012,6.142655988,ウェーブ
163,女,チェウォン（LE SEERAFIM）,3.963338906,6.036661094,ウェーブ
163,女,サクラ（LE SEERAFIM）,3.77065524,6.22934476,ウェーブ
163,女,平手友梨奈,4.22298536,5.77701464,ウェーブ
164,女,へリン（NewJeans）,3.86850945,6.13149055,ストレート
164,女,遠藤さくら（乃木坂46）,3.712728493,6.287271507,ナチュラル
164,女,ミンジュ,3.802174876,6.197825124,ナチュラル
164,,リア（ITZY）,3.739504903,6.260495097,ナチュラル
164,,桐谷美玲,3.984173165,6.015826835,ウェーブ
164,女,ダニエル（NewJeans）,3.739504903,6.260495097,ウェーブ
165,女,広瀬アリス,3.945511018,6.054488982,ストレート
165,女,ニンニン（aespa）,3.779421681,6.220578319,ストレート
165,女,ガウル（IVE）,3.852415294,6.147584706,ナチュラル
165,女,生見愛瑠(めるる),3.514255964,6.485744036,ナチュラル
165,女,新木優子,3.691828178,6.308171822,ウェーブ
166,女,川口春奈,3.901044321,6.098955679,ストレート
166,女,ジゼル（aespa）,3.396808309,6.603191691,ストレート
166,女,ジウ（NMIXX）,3.900768304,6.099231696,ストレート
166,女,池田美優(みちょぱ),4.198857701,5.801142299,ナチュラル
166,女,本田翼,3.950462981,6.049537019,ナチュラル
166,女,賀喜遥香（乃木坂46）,3.889578496,6.110421504,ウェーブ
166,女,アヤカ（NiziU）,4.167936788,5.832063212,ウェーブ
166,女,ソリュン（NMIXX）,3.924943019,6.075056981,ウェーブ
166,女,へウォン（NMIXX）,3.837656509,6.162343491,ウェーブ
167,女,渡邉理佐,3.836515435,6.163484565,ストレート
167,女,ギュジン（NMIXX）,3.436852726,6.563147274,ストレート
167,女,リサ（BLACKPINK）,3.479906217,6.520093783,ナチュラル
167,女,カリナ（aespa）,3.894995273,6.105004727,ウェーブ
167,女,ジニ（NMIXX）,4.385570069,5.614429931,ウェーブ
168,女,ジョンヨン（TWICE）,3.805772008,6.194227992,ストレート
168,女,,,,ナチュラル
168,女,ロゼ（BLACKPINK）,3.747947442,6.252052558,ウェーブ
168,女,ベイ（NMIXX）,3.787789354,6.212210646,ウェーブ
168,女,小松菜奈,3.840687079,6.159312921,ウェーブ
169,女,長澤 まさみ,3.768841933,6.231158067,ストレート
169,女,レイ（IVE）,3.575230717,6.424769283,ストレート
169,女,ミンジ(NewJeans),4.153390642,5.846609358,ストレート
169,女,ユナ（ITZY）,3.820633389,6.179366611,ナチュラル
169,女,中条あやみ,3.982779627,6.017220373,ウェーブ
169,女,新垣結衣,3.698121019,6.301878981,ウェーブ
170,女,ヘイン（NewJeans）,3.569464041,6.430535959,ストレート
170,女,リズ（IVE）,3.608926297,6.391073703,ストレート
170,女,ユンジン（LE SEERAFIM）,4.057437841,5.942562159,ストレート
170,女,カズハ（LE SEERAFIM）,3.958209213,6.041790787,ナチュラル
170,女,イソ（IVE),3.676212551,6.323787449,ナチュラル
170,女,ツウィ（TWICE）,4.102867616,5.897132384,ウェーブ
,,,,,
171,女,ニナ（NiziU）,3.964330594,6.035669406,ナチュラル
171,女,三吉彩花,4.037938882,5.962061118,ウェーブ
172,女,ユジン（IVE）,4.440455707,5.559544293,ストレート
,,,,,
172,女,ウンチェ（LE SEERAFIM）,3.802276119,6.197723881,ウェーブ
172,女,菜々緒,3.613767684,6.386232316,ウェーブ
173,女,ウォニョン（IVE）,3.591296741,6.408703259,ウェーブ